,Column,Nid,Date,Region,Location Name or Route,dt,match,score,latitute,longitude,m_sName,m_iID,m_sAliasTo,m_sNote,m_sCanyon,m_sElevation,m_sViewHeading,m_sViewDistance,slope_x,aspect_x,avy_elevat_x,slope_y,aspect_y,avy_elevat_y
41,51,32027,03/28/2017,Salt Lake,pioneer main chute,2017-03-28,pioneer main chute,100,40.582079,-111.587227,pioneer main chute,2306,,,Big Cottonwood Canyon,-1,215,800,32.09985,336.96497,3119.49731,32.09985,336.96497,3119.49731
42,52,32041,03/28/2017,Salt Lake,lake shot subridge,2017-03-28,lake shot,90,40.5369,-111.6964,lake shot,3610,,,Little Cottonwood Canyon,-1,210,2000,26.54103,46.66615,3167.38281,26.54103,46.66615,3167.38281
43,53,32042,03/28/2017,Salt Lake,skier's right of doug's drop,2017-03-28,doug's drop,90,40.606902,-111.62707,doug's drop,2551,,,Big Cottonwood Canyon,9500,265,1000,37.4943,82.01616,2947.27466,37.4943,82.01616,2947.27466
44,54,32046,03/28/2017,Salt Lake,clayton peak,2017-03-28,clayton peak,100,40.590726,-111.559995,clayton peak,2277,,,Big Cottonwood Canyon;Wasatch County,10721,110,2000,28.19754,268.87769,3237.56641,28.19754,268.87769,3237.56641
45,55,32075,03/27/2017,Salt Lake,broads fork,2017-03-27,broads fork,100,40.617894,-111.720238,broads fork,2895,,,Big Cottonwood Canyon,-1,160,2500,17.49144,351.94379,2350.58154,17.49144,351.94379,2350.58154
46,56,31989,03/27/2017,Salt Lake,pink pine,2017-03-27,pink pine,100,40.563176,-111.692113,pink pine,3532,,This entire slope LF (north of Rainbow Peak) LF is usually called Pink Pine.,Little Cottonwood Canyon,-1,235,1400,28.94949,48.88452,2629.67578,28.94949,48.88452,2629.67578
47,57,32004,03/27/2017,Salt Lake,east bowl,2017-03-27,east bowl,100,40.602544,-111.617177,east bowl,2541,,,Big Cottonwood Canyon,-1,135,2000,22.76563,276.34558,2995.64502,22.76563,276.34558,2995.64502
49,60,31938,03/26/2017,Salt Lake,gobblers/butler basin,2017-03-26,butler basin,90,40.667612,-111.67902,butler basin,2081,,,Big Cottonwood Canyon,-1,280,800,21.3301,117.24711,2862.5835,21.3301,117.24711,2862.5835
50,61,31956,03/26/2017,Salt Lake,"barrieto, mineral fork",2017-03-26,barrieto,90,40.607377,-111.680652,barrieto,2803,,"Barrieto is frequently called Marietta or Marietto, LF but the original name is LF Barrieto.",Big Cottonwood Canyon,-1,230,1600,40.19424,48.45523,2883.74854,40.19424,48.45523,2883.74854
51,63,31988,03/26/2017,Salt Lake,cardiac ridge,2017-03-26,cardiac ridge,100,40.596963,-111.667777,cardiac ridge,2718,,,Big Cottonwood Canyon,-1,235,1200,42.30051,236.86736,3254.43359,42.30051,236.86736,3254.43359
52,64,31912,03/25/2017,Salt Lake,days draw,2017-03-25,days draw,100,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
53,66,31897,03/24/2017,Salt Lake,banana days,2017-03-24,banana days,100,40.606593,-111.64172,banana days,2610,,"Many people call Banana Belt LF ''Banana Days,'' but these labels LF match the earliest records.",Big Cottonwood Canyon,-1,285,900,20.24573,105.76704,3081.5332,20.24573,105.76704,3081.5332
54,67,31908,03/24/2017,Salt Lake,ne face of lake peak,2017-03-24,lake peak,90,40.540997,-111.68386,lake peak,3518,No Name Peak,,Little Cottonwood Canyon,10718,175,2100,33.82166,254.35515,3226.83643,33.82166,254.35515,3226.83643
55,69,31869,03/24/2017,Salt Lake,wolveriene cirque,2017-03-24,wolverine cirque,97,40.587035,-111.605933,wolverine cirque,2455,,,Big Cottonwood Canyon,-1,195,700,23.43305,48.76762,3131.92773,23.43305,48.76762,3131.92773
57,71,31818,03/23/2017,Salt Lake,cardiac bowl,2017-03-23,cardiac bowl,100,40.595069,-111.664316,cardiac bowl,2687,,,Big Cottonwood Canyon,-1,220,2000,27.95099,53.99466,3135.11475,27.95099,53.99466,3135.11475
58,73,31760,03/22/2017,Salt Lake,y couloir,2017-03-22,y couloir,100,40.562989,-111.726198,y couloir,3755,,,Little Cottonwood Canyon,-1,170,1300,43.86303,5.52954,2515.20508,43.86303,5.52954,2515.20508
59,74,31757,03/21/2017,Salt Lake,lookers left of microwave proper,2017-03-21,microwave,90,40.58785,-111.61264,microwave,3269,,This is sometimes called LF Patsey Marley LF (rather than the location LF in Grizzly Gulch).,Little Cottonwood Canyon,-1,55,1500,42.10503,247.17393,2995.37646,42.10503,247.17393,2995.37646
60,76,31692,03/19/2017,Salt Lake,stairs gulch,2017-03-19,stairs gulch,100,40.612656,-111.734558,stairs gulch,2930,,,Big Cottonwood Canyon,-1,150,2500,36.71584,352.50549,2297.70337,36.71584,352.50549,2297.70337
61,78,31631,03/18/2017,Salt Lake,rainbow peak,2017-03-18,rainbow peak,100,40.554181,-111.69164,rainbow peak,3528,,,Little Cottonwood Canyon,9947,165,2400,47.88416,282.32007,2969.48975,47.88416,282.32007,2969.48975
62,80,31514,03/14/2017,Salt Lake,no name bowl,2017-03-14,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
63,84,31393,03/9/2017,Salt Lake,"mt superior, south face",2017-03-09,south face (superior),95,40.590841,-111.664865,south face (superior),3118,,The South Face is also called LF Main Superior.,Little Cottonwood Canyon,-1,305,800,34.4359,108.40405,3221.42432,34.4359,108.40405,3221.42432
64,85,31382,03/9/2017,Salt Lake,no name bowl,2017-03-09,no name bowl,100,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
65,86,31383,03/9/2017,Salt Lake,little pine east,2017-03-09,little pine east,100,40.584471,-111.679842,little pine east,3075,,,Little Cottonwood Canyon,-1,0,2000,40.39602,149.03789,2813.52173,40.39602,149.03789,2813.52173
66,87,31356,03/8/2017,Salt Lake,lower cardiac bowl ,2017-03-08,cardiac bowl,90,40.595069,-111.664316,cardiac bowl,2687,,,Big Cottonwood Canyon,-1,220,2000,27.95099,53.99466,3135.11475,27.95099,53.99466,3135.11475
67,88,31327,03/7/2017,Salt Lake,hideaway,2017-03-07,hideaway park,90,40.6038,-111.6331,hideaway park,2598,,,Big Cottonwood Canyon,-1,160,1000,18.04005,349.53616,2949.32764,18.04005,349.53616,2949.32764
69,90,31325,03/7/2017,Salt Lake,"mt superior, south face",2017-03-07,south face (superior),95,40.590841,-111.664865,south face (superior),3118,,The South Face is also called LF Main Superior.,Little Cottonwood Canyon,-1,305,800,34.4359,108.40405,3221.42432,34.4359,108.40405,3221.42432
70,94,31228,03/4/2017,Salt Lake,hypodermic needle,2017-03-04,hypodermic needle,100,40.545396,-111.729561,hypodermic needle,3704,,The original name of LF the Hypodermic Needle LF is LF Dover,Little Cottonwood Canyon,-1,260,1900,43.17636,55.22456,3227.71191,43.17636,55.22456,3227.71191
71,100,31179,03/3/2017,Salt Lake,y not couloir ,2017-03-03,y-not couloir,100,40.564073,-111.728948,y-not couloir,3756,,,Little Cottonwood Canyon,-1,165,1300,51.26288,41.22865,2481.0752,51.26288,41.22865,2481.0752
72,102,31150,03/2/2017,Salt Lake,y couloir,2017-03-02,y couloir,100,40.562989,-111.726198,y couloir,3755,,,Little Cottonwood Canyon,-1,170,1300,43.86303,5.52954,2515.20508,43.86303,5.52954,2515.20508
73,103,31167,03/2/2017,Salt Lake,scott hill/radar love bowl,2017-03-02,radar love bowl,90,40.628279,-111.566679,radar love bowl,5258,,,Summit County,-1,305,1000,30.34711,98.76051,2997.77124,30.34711,98.76051,2997.77124
75,109,31038,02/25/2017,Salt Lake,"near ufo bowls, east face above alpine loop road",2017-02-25,ufo bowls,90,40.41523,-111.625949,ufo bowls,6401,,,Utah County,-1,135,1000,23.69499,35.7022,2830.11401,23.69499,35.7022,2830.11401
76,110,31015,02/24/2017,Salt Lake,"hogum fk, dresden face & north of needle",2017-02-24,dresden face,90,40.542912,-111.730135,dresden face,3703,,,Little Cottonwood Canyon,-1,300,1900,47.95969,106.70417,3324.51489,47.95969,106.70417,3324.51489
77,111,30893,02/23/2017,Salt Lake,iron mountain,2017-02-23,iron mountain,100,40.65723,-111.54316,iron mountain,5262,,,Summit County,9018,135,3500,17.20655,235.98245,2743.69531,17.20655,235.98245,2743.69531
78,112,30898,02/23/2017,Salt Lake,west monitor,2017-02-23,west monitor,100,40.639612,-111.575337,west monitor,5223,,,Summit County,-1,260,1500,36.67375,64.72899,2937.33838,36.67375,64.72899,2937.33838
79,113,31003,02/23/2017,Salt Lake,y couloir,2017-02-23,y couloir,100,40.562989,-111.726198,y couloir,3755,,,Little Cottonwood Canyon,-1,170,1300,43.86303,5.52954,2515.20508,43.86303,5.52954,2515.20508
80,114,30863,02/22/2017,Salt Lake,culps,2017-02-22,culps,100,40.597137,-111.628739,culps,3164,,,Little Cottonwood Canyon,-1,10,1500,20.79237,219.23141,2923.9812,20.79237,219.23141,2923.9812
82,116,30866,02/22/2017,Salt Lake,mary chutes/theobald,2017-02-22,mary chutes,90,40.591428,-111.586642,mary chutes,2330,,,Big Cottonwood Canyon,-1,225,500,42.15503,67.9001,2880.48145,42.15503,67.9001,2880.48145
83,118,30795,02/20/2017,Salt Lake,"iron mountain, bowl 2",2017-02-20,bowl 2,90,40.662096,-111.538777,bowl 2,5275,,,Summit County,-1,245,1700,31.33691,85.58535,2536.40063,31.33691,85.58535,2536.40063
84,121,30778,02/19/2017,Salt Lake,lake chute,2017-02-19,lake chute,100,40.541513,-111.683381,lake chute,3521,,,Big Cottonwood Canyon,-1,265,1300,13.67434,223.72539,3257.39038,13.67434,223.72539,3257.39038
85,122,30780,02/19/2017,Salt Lake,days draw,2017-02-19,days draw,100,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
86,123,30783,02/19/2017,Salt Lake,sinners pass,2017-02-19,sinners pass,100,40.550222,-111.630409,sinners pass,6258,,,Utah County,9800,180,2000,16.60079,141.63394,2989.19629,16.60079,141.63394,2989.19629
87,124,30785,02/19/2017,Salt Lake,sunset peak,2017-02-19,sunset peak,100,40.577039,-111.593636,sunset peak,2368,,,Big Cottonwood Canyon;Wasatch County;Utah County,10648,170,2000,36.2129,249.02943,3201.86011,36.2129,249.02943,3201.86011
88,126,30737,02/19/2017,Salt Lake,adjacent to cardiff pass skin track,2017-02-19,cardiff pass,90,40.596076,-111.651477,cardiff pass,3113,,Cardiff Pass LF is also known as LF Poleline Pass,Big Cottonwood Canyon;Little Cottonwood Canyon,10020,315,700,26.17172,335.07095,3032.24829,26.17172,335.07095,3032.24829
89,127,30739,02/19/2017,Salt Lake,silver fork headwall,2017-02-19,silver fork headwall,100,40.599156,-111.626907,silver fork headwall,2547,,,Big Cottonwood Canyon,-1,180,1000,42.13863,10.46025,2958.45288,42.13863,10.46025,2958.45288
91,129,30745,02/19/2017,Salt Lake,cardiff fork (lsb),2017-02-19,cardiff fork,95,40.61987,-111.6545,cardiff fork,2645,,Cardiff Fork LF is also known as LF Mill D South Fork,Big Cottonwood Canyon,-1,190,3000,17.1262,66.80544,2522.93091,17.1262,66.80544,2522.93091
92,130,30748,02/19/2017,Salt Lake,maybird aprons,2017-02-19,maybird aprons,100,40.557343,-111.70944,maybird aprons,3668,,,Little Cottonwood Canyon,-1,245,1500,29.78203,44.42087,2701.3418,29.78203,44.42087,2701.3418
93,131,30750,02/19/2017,Salt Lake,high ivory,2017-02-19,high ivory,100,40.606554,-111.666908,high ivory,2719,,High and Mid Ivory are often called LF Ivory Flakes.,Big Cottonwood Canyon,-1,275,2400,43.72237,95.97044,3151.27222,43.72237,95.97044,3151.27222
94,132,30751,02/19/2017,Salt Lake,10420,2017-02-19,10420,100,40.600084,-111.558387,10420,2251,,,Big Cottonwood Canyon;Wasatch County,10420,120,2000,20.88771,251.08237,3151.57935,20.88771,251.08237,3151.57935
95,133,30754,02/19/2017,Salt Lake,main days,2017-02-19,main days,100,40.605834,-111.642708,main days,2608,,,Big Cottonwood Canyon,-1,240,1300,31.40769,51.94419,3137.71484,31.40769,51.94419,3137.71484
96,134,30759,02/19/2017,Salt Lake,days draw,2017-02-19,days draw,100,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
97,135,30777,02/19/2017,Salt Lake,se face of no name bowl,2017-02-19,no name bowl,90,40.635387,-111.562005,no name bowl,5256,,,Summit County,-1,250,2000,33.62292,70.63539,2876.86865,33.62292,70.63539,2876.86865
98,136,30712,02/18/2017,Salt Lake,rainbow ridge,2017-02-18,rainbow ridge,100,40.557627,-111.688105,rainbow ridge,3530,,,Big Cottonwood Canyon,-1,270,1400,25.37596,39.12464,2757.77637,25.37596,39.12464,2757.77637
99,137,30714,02/18/2017,Salt Lake,bells canyon,2017-02-18,bells canyon,100,40.560433,-111.765325,bells canyon,4120,,,Salt Lake Valley,-1,105,3100,14.80718,310.79657,2155.20532,14.80718,310.79657,2155.20532
100,139,30685,02/17/2017,Salt Lake,y not,2017-02-17,y-not (af),90,40.536374,-111.63881,y-not (af),6133,,,Utah County,-1,265,1200,31.43369,96.85181,3114.78882,31.43369,96.85181,3114.78882
101,140,30651,02/16/2017,Salt Lake,red pine,2017-02-16,red pine bowl,90,40.662099,-111.597728,red pine bowl,5054,,,Summit County,-1,240,800,36.18785,70.9076,2906.96313,36.18785,70.9076,2906.96313
102,141,30659,02/16/2017,Salt Lake,red pine lake,2017-02-16,red pine lake (lower),90,40.542801,-111.69329,red pine lake (lower),3611,,,Little Cottonwood Canyon,9620,165,1600,1.21429,58.69281,2934.33423,1.21429,58.69281,2934.33423
103,142,30646,02/16/2017,Salt Lake,trees just east of tri chutes,2017-02-16,tri chutes,90,40.550034,-111.668583,tri chutes,3500,,,Little Cottonwood Canyon,-1,100,1500,41.38054,270.40546,3035.50635,41.38054,270.40546,3035.50635
104,143,30648,02/16/2017,Salt Lake,"mill b south fork, adjacent to bottom of athey's line",2017-02-16,athey's line,90,40.593594,-111.698321,athey's line,2860,,,Big Cottonwood Canyon,-1,185,1200,27.96554,55.80302,3050.14868,27.96554,55.80302,3050.14868
105,146,30562,02/13/2017,Salt Lake,wolverine cirque,2017-02-13,wolverine cirque,100,40.587035,-111.605933,wolverine cirque,2455,,,Big Cottonwood Canyon,-1,195,700,23.43305,48.76762,3131.92773,23.43305,48.76762,3131.92773
106,147,30563,02/13/2017,Salt Lake,wolverine cirque,2017-02-13,wolverine cirque,100,40.587035,-111.605933,wolverine cirque,2455,,,Big Cottonwood Canyon,-1,195,700,23.43305,48.76762,3131.92773,23.43305,48.76762,3131.92773
107,148,30583,02/13/2017,Salt Lake,coffin chutes,2017-02-13,coffin chutes,100,40.569587,-111.674063,coffin chutes,3492,,,Little Cottonwood Canyon,-1,155,1400,41.33702,345.36429,2719.10938,41.33702,345.36429,2719.10938
108,149,30590,02/13/2017,Salt Lake,hogum,2017-02-13,hogum 200,90,40.547861,-111.713739,hogum 200,3682,,,Little Cottonwood Canyon,-1,120,1800,31.55308,296.43414,2947.80908,31.55308,296.43414,2947.80908
109,150,30532,02/12/2017,Salt Lake,upper mill b south (backside of heart of darkness),2017-02-12,heart of darkness,90,40.593062,-111.671838,heart of darkness,2857,,,Big Cottonwood Canyon,-1,65,600,54.59629,265.43781,3199.94385,54.59629,265.43781,3199.94385
110,151,30539,02/12/2017,Salt Lake,"willow, west monitor, south monitor, no name",2017-02-12,south monitor,90,40.63419,-111.573742,south monitor,5228,,,Summit County,-1,230,1500,32.90428,88.92542,2941.15845,32.90428,88.92542,2941.15845
111,153,30514,02/12/2017,Salt Lake,hogum hogback,2017-02-12,hogum hogback,100,40.54547,-111.71019,hogum hogback,3683,,,Little Cottonwood Canyon,10516,210,2600,37.8553,254.28612,3187.49048,37.8553,254.28612,3187.49048
112,155,30518,02/12/2017,Salt Lake,banana days,2017-02-12,banana days,100,40.606593,-111.64172,banana days,2610,,"Many people call Banana Belt LF ''Banana Days,'' but these labels LF match the earliest records.",Big Cottonwood Canyon,-1,285,900,20.24573,105.76704,3081.5332,20.24573,105.76704,3081.5332
113,156,30526,02/12/2017,Salt Lake,white pine,2017-02-12,white pine,100,40.584078,-111.691215,white pine,3071,,Don't confuse this with LF White Pine Fork LF on the south side of the road.,Little Cottonwood Canyon,-1,345,2000,45.19536,151.57095,2869.50684,45.19536,151.57095,2869.50684
114,157,30534,02/11/2017,Salt Lake,scotts peak and west monitor,2017-02-11,west monitor,90,40.639612,-111.575337,west monitor,5223,,,Summit County,-1,260,1500,36.67375,64.72899,2937.33838,36.67375,64.72899,2937.33838
115,158,30535,02/11/2017,Salt Lake,lake peak east/ lake chute,2017-02-11,lake peak east chute,95,40.540248,-111.683395,lake peak east chute,3517,,,Little Cottonwood Canyon,-1,255,1400,20.97573,242.56783,3222.98999,20.97573,242.56783,3222.98999
116,160,30479,02/11/2017,Salt Lake,georges bowl,2017-02-11,george's bowl,96,40.6139,-111.665713,george's bowl,2723,,George's Bowl was originally named Ivory Flakes. LF High Ivory and Mid Ivory are now often called Ivory Flakes.,Big Cottonwood Canyon,-1,245,1700,26.10166,58.89509,2937.97217,26.10166,58.89509,2937.97217
117,161,30541,02/11/2017,Salt Lake,tuscarora,2017-02-11,mt. tuscarora,95,40.584314,-111.59871,mt. tuscarora,2372,,,Big Cottonwood Canyon;Little Cottonwood Canyon,10640,250,2000,31.71102,220.09541,3221.57812,31.71102,220.09541,3221.57812
118,162,30481,02/11/2017,Salt Lake,"park city ridgeline, scott hill",2017-02-11,scott hill,90,40.624184,-111.56753,scott hill,2207,,,Big Cottonwood Canyon;Summit County,10116,50,2000,37.20515,271.76587,3035.7644,37.20515,271.76587,3035.7644
119,163,30482,02/11/2017,Salt Lake,days draw,2017-02-11,days draw,100,40.615634,-111.642791,days draw,2616,,,Big Cottonwood Canyon,-1,220,1100,33.02547,41.41787,2889.95483,33.02547,41.41787,2889.95483
120,164,30487,02/11/2017,Salt Lake,upper meadow chutes,2017-02-11,upper meadow chutes,100,40.609755,-111.627163,upper meadow chutes,2552,,,Big Cottonwood Canyon,-1,270,1900,36.47493,113.23551,2907.00464,36.47493,113.23551,2907.00464
121,168,30578,02/11/2017,Salt Lake,upper white pine,2017-02-11,white pine,90,40.584078,-111.691215,white pine,3071,,Don't confuse this with LF White Pine Fork LF on the south side of the road.,Little Cottonwood Canyon,-1,345,2000,45.19536,151.57095,2869.50684,45.19536,151.57095,2869.50684
122,169,30516,02/11/2017,Salt Lake,kessler slab,2017-02-11,kessler slabs,96,40.631263,-111.662948,kessler slabs,2757,,,Big Cottonwood Canyon,-1,240,1700,38.60474,44.58581,2787.08179,38.60474,44.58581,2787.08179
123,170,30517,02/11/2017,Salt Lake,lake shot,2017-02-11,lake shot,100,40.5369,-111.6964,lake shot,3610,,,Little Cottonwood Canyon,-1,210,2000,26.54103,46.66615,3167.38281,26.54103,46.66615,3167.38281
